,token_lT_count,longest_lA_run,longest_lC_run,token_lC_count,lna_last_fraction,longest_rU_run,rna_mean_fraction,rna_count_3p,repeated_dinucleotide_count,longest_homopolymer_run,methyl_mean_fraction,rna_mean_position,modified_token_mean_fraction,token_rU_count,mod_density_3p,longest_mG_run,modified_token_position_std,token_mC_count,slash_mod_density_middle,token_rU_fraction,methyl_position_std,rna_count_middle,base_U_count,mod_density_middle,methyl_mean_position,longest_rna_run,token_rA_count,rna_span_fraction,rna_first_position,token_rG_count,star_density_3p,slash_mod_count_3p,star_count_5p,token_rA_fraction,star_count_middle,modified_token_first_position,longest_mC_run,star_first_position,token_rG_fraction,slash_mod_position_std,longest_mU_run,base_C_fraction,methyl_count_5p,mod_density_5p,base_U_fraction,token_rC_fraction,purine_fraction,longest_rG_run,base_G_count,slash_mod_last_position,base_C_count,longest_gc_run,slash_mod_first_position,modified_token_mean_position,max_gc_window_10,lna_count_3p,slash_mod_count,decorated_length,longest_slash_mod_run,base_G_fraction,slash_mod_density_5p,terminal_gc_count,longest_rC_run,unknown_char_count,unknown_char_fraction,terminal_star_count,token_lU_count,token_lU_fraction,longest_lU_run,lna_count_5p,lna_density_5p
token_lT_count,1.0,0.8052839678141188,0.6439406225647053,0.5689905375830256,0.7735508714599979,0.04350571902010282,0.02396425023088497,0.012354928702896494,0.004622721060011206,0.01315295433860074,0.021413339228854848,0.018647769227773055,0.01473959298474762,0.008656190332940131,0.03111854898284909,0.06969481043049718,0.016999029830992177,0.030632668710538102,0.08290930755349471,0.03416739677132806,0.005364251376480107,0.057130288852218734,0.04676461993352741,0.1531723440184806,0.036065554381159194,0.05892184769857872,0.02464912898077953,0.00442435726442046,0.006090494841683255,0.02911583357081218,0.005318683836208626,0.12498620587560828,0.039394074138796385,0.03684467676332232,0.011373050726315208,0.0008018594658953123,0.05841581169096538,0.0005399825887453984,0.05750063332138792,0.021200118273444694,0.005100075073594104,0.019784352417895425,0.04675275602167695,0.03124489559492828,0.03979485981592189,0.006851040013813931,0.03880573417354383,0.007651744896911064,0.011381879199307067,0.07344299562369432,0.027644523444643142,0.05162701100147693,0.07593168815117787,0.02973183200453319,0.027028756896738733,0.0009920630038743826,0.1489551804713046,0.04965938683541537,0.05452065132870906,0.04384729385381606,0.027973864010612266,0.06735552542300656,0.06592367082388831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longest_lA_run,0.8052839678141188,1.0,0.3736150077561608,0.26362501859803467,0.8231863418798052,0.04947266776066897,0.01541068023180384,0.002180357024237768,0.006995661648115855,0.018049723861403025,0.021306842050065406,0.02704823263030566,0.014511707898591195,0.004257458489758096,0.021937074639705307,0.04973919408302437,0.011437226429954287,0.02649851104232536,0.06269765434708258,0.03215171078204713,0.012004550274567111,0.0488837382429013,0.04431668816324124,0.1449516805296932,0.03546749886871178,0.05900750729634632,0.028323185625570704,0.00464666114982934,0.006573672825104887,0.01826102884378751,0.004450992971893747,0.12241081024135361,0.04115285771855522,0.041946690849491916,0.012275310371571582,0.0008654734824555331,0.05410669719527697,0.0005828210944981923,0.04630079525916702,0.023296087316998816,0.009246520914849107,0.03483503133960365,0.043777298944618466,0.030974522482210075,0.03134431741550563,0.01053294997773103,0.043073314206912953,0.021957839174527035,0.0018871024090084353,0.06392489807492892,0.04141637360044302,0.055722743074847245,0.05882023860339733,0.03031342657704114,0.027019402564488298,0.0010707664613272348,0.14667397573185936,0.05395248133416619,0.045686399765939766,0.027457353533243453,0.048314980188561625,0.07269904968370448,0.06914103819855438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longest_lC_run,0.6439406225647053,0.3736150077561608,1.0,0.8836994600325198,0.6546131678548424,0.03088509811653048,0.020538688112206126,0.007765217899188245,0.0028163137895587443,0.011068119474811133,0.018354766264867987,0.009067012394436564,0.014568181745957838,0.0013646037161725714,0.019581239777377905,0.037279673119890215,0.0035707690923521725,0.010161294727912403,0.06409599795113119,0.017563055475586606,0.013419020259141948,0.028792578874020733,0.03298115414498476,0.08847890733550526,0.02979711551526108,0.042468429093536646,0.015303194119478801,0.004115854251749279,0.004926987230793383,0.011963101749234267,0.0021347584852034413,0.06782215881330418,0.007288178490537639,0.024038715074586662,0.009200381440309009,0.0006486749356256061,0.04055312962389198,0.00043682613461734155,0.029101577788735324,0.005431742492908364,0.0022845594858416783,0.020133796075884464,0.017568993434294827,0.005532750077037233,0.02768043950815951,0.001897163243425633,0.031132494859836816,0.016457465424130527,0.007829545553927812,0.04373773748907183,0.024343687257363175,0.041764360791742505,0.05431210346251629,0.028150011102522472,0.01612606679134903,0.0008025426306544135,0.0795532990241916,0.03043558499946161,0.034242091788940845,0.03139207355765919,0.008415629953069376,0.05448815281991352,0.05677765709960293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_lC_count,0.5689905375830256,0.26362501859803467,0.8836994600325198,1.0,0.6096721531617965,0.029115994254076277,0.011870762696286886,0.001612066214437257,0.004513945183147361,0.012753416799048307,0.016122721618589568,0.014384059038894158,0.012575135702738159,0.002157079009422089,0.009791523515968136,0.014436496701540243,0.0006639192119085045,0.003483365081945718,0.044300362950198305,0.013998028018230874,0.01861993098331637,0.016902011337097168,0.028661955714995357,0.06783698887428781,0.026198075807725717,0.037013911750563906,0.013030193079045517,0.004350163364653136,0.004644768534016948,0.0017210721191830113,0.00160637613092715,0.045893556523477895,0.0068707103423317085,0.021941328654773353,0.008673381970186229,0.000611518721008359,0.03096319805230842,0.000411804656652247,0.012652766021447395,0.0014881817299056143,0.002153699515924835,0.02700611950510377,0.010240214814731514,0.00073554778259806,0.018802028734769247,0.010209595376534828,0.02980752771386602,0.026646043812879324,0.002578292425487306,0.027386829712139293,0.03115792408641028,0.039372090846190394,0.03577644968331783,0.025183920137753862,0.015202362843926587,0.0007565728473525133,0.05351711011558901,0.028367089831545504,0.021587818309354145,0.017526929372288724,0.007933581186418655,0.05136706182489708,0.053525422896006744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lna_last_fraction,0.7735508714599979,0.8231863418798052,0.6546131678548424,0.6096721531617965,1.0,0.0457480214018947,0.005672680599650739,0.010842077555415454,0.007067821481074954,0.020499367848539327,0.023463063798819708,0.04304748327955099,0.016363438823984517,0.0005608720575880316,0.013443828213547462,0.040893090115351645,0.008461772850611204,0.043676498999589905,0.053672243425322085,0.03517082187302044,0.016500869393132528,0.05398472685754514,0.04832753818508664,0.16561802232102035,0.040388630987422805,0.06599509624384395,0.0294425227451724,0.007291157280593243,0.007680026202017769,0.005978454463047156,0.0054777822651934475,0.09691710058208171,0.0353479112038895,0.04674603699460334,0.014341253025482498,0.001011133227839757,0.060726199911505255,0.0006809102606599591,0.0373270627752304,0.013886450579437654,0.018377620436912642,0.04334500060383498,0.06932660874055403,0.036460112845297606,0.02250494819435208,0.010595245619264787,0.04283779412476978,0.029462335355960097,0.01875692905305673,0.04727939567284306,0.05581796993323267,0.05145326718984921,0.04654554111483354,0.03743995197246159,0.02367496574377385,0.36603406809718275,0.11542053362990287,0.062033451812754714,0.034021987018222385,0.01671555474668656,0.03138132902777424,0.06116256504791512,0.06984547831802593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longest_rU_run,0.04350571902010282,0.04947266776066897,0.03088509811653048,0.029115994254076277,0.0457480214018947,1.0,0.21987855879314677,0.11700390474827486,0.5171675549958551,0.3321139495955272,0.23045655606551027,0.03978980382897348,0.49261842614989665,0.31972675090405256,0.1937570623893729,0.06309721328996536,0.3397197351275084,0.15037992726196694,0.051114514732258455,0.42539271310631516,0.145042676879918,0.03765994531034618,0.40346114615645046,0.011466872217049014,0.20834059241144098,0.07691824185306112,0.23861522544889704,0.05108979526806249,0.0378983184603722,0.027943828977009,0.22700453109924826,0.06674218293064837,0.02878220897468849,0.27996653698930524,0.3224818158786442,0.07259271654750153,0.07992052455067464,0.06544335701951041,0.02248410751599273,0.20366172340079913,0.20983225520980806,0.06353915205281187,0.10082861797443185,0.001746066070937385,0.5273835907318803,0.077869097250623,0.3026452121575122,0.10302466707845509,0.09650760587284178,0.09943438602237832,0.009958760003252196,0.03314063569426219,0.0718003879317365,0.39884438011317447,0.24192697883672518,0.008796900918862946,0.04147798574603975,0.06613590751833107,0.015732618611155956,0.09581185341114917,0.050983196618044645,0.18622636374245,0.02106513191871635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rna_mean_fraction,0.02396425023088497,0.01541068023180384,0.020538688112206126,0.011870762696286886,0.005672680599650739,0.21987855879314677,1.0,0.6621677081207502,0.041648909490241026,0.028369346525698266,0.26725576890626934,0.38570787815345375,0.2676376362712665,0.23814278858097607,0.8530240398473511,0.5735795527320772,0.18041702077201327,0.7324170920530947,0.05771272633441994,0.3227178683171709,0.16641198939123814,0.2040163051959983,0.08411851811965657,0.5668323140765953,0.3695552972522338,0.4442467677898682,0.1839780830010357,0.5948603584037512,0.2197297239949943,0.37105163818666925,0.21655716156781807,0.10968054316076038,0.040831074370514836,0.2114098091668716,0.24080119620389762,0.02210002281453463,0.5991380612150728,0.04243283032624664,0.5164830393103735,0.06025332687505915,0.6485490532987812,0.2027199610886772,0.3731747964528831,0.186215530157575,0.11306023411717021,0.47279807503000154,0.057977277266086,0.08771971113329817,0.03361236359147554,0.002873266415952583,0.11078283596056257,0.07247391598012784,0.05730968901500683,0.3677877795432968,0.09046825821873891,0.016045035817769532,0.052129465442004884,0.045888952546351384,0.04483431398784537,0.08150535122932621,0.051426462028527256,0.17017888984760873,0.1320648431694676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rna_count_3p,0.012354928702896494,0.002180357024237768,0.007765217899188245,0.001612066214437257,0.010842077555415454,0.11700390474827486,0.6621677081207502,1.0,0.21419505262992788,0.1468174850936172,0.19900990425655085,0.822133610833799,0.1425129878073021,0.6726275406435596,0.8460806052327927,0.5273120643750148,0.5515898979258818,0.7074889472600774,0.04680263290201741,0.3995619896301249,0.42431824221690295,0.7686821910045434,0.34024063608912375,0.5746265759196492,0.09940234313013918,0.8425459933181373,0.4652751125447463,0.7617477245870165,0.15114076493690917,0.7947501655840818,0.24073807408290168,0.06768089876410421,0.11419899884833047,0.26723716374743234,0.07059919641786404,0.004906891471523775,0.54557440322123,0.049267623672701995,0.680089844114101,0.15591417116864797,0.5813186799180114,0.23405682772247177,0.4397885816886958,0.46874682426314584,0.16090260782987179,0.6185274632174692,0.04713716130189186,0.21761670392500826,0.4871470287916404,0.12925633113540072,0.5029928169929981,0.18964760149592882,0.025550337569361654,0.020798327805431657,0.20517382560236427,0.01577213953722537,0.010583009641645104,0.5802001728565475,0.011994977930680962,0.14557558325297312,0.005644630080982908,0.1261725213568404,0.2982497681563834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeated_dinucleotide_count,0.004622721060011206,0.006995661648115855,0.0028163137895587443,0.004513945183147361,0.007067821481074954,0.5171675549958551,0.041648909490241026,0.21419505262992788,1.0,0.8758040031315562,0.30570325664285747,0.19676607724507322,0.4442244884209968,0.2625037475335439,0.1345868341807611,0.158923643928278,0.2348642493247612,0.10557103862928578,0.001775212167102692,0.47247811475456414,0.16745593960709781,0.20565871215825013,0.34392237282921884,0.08032226431068867,0.21911074143228848,0.17284821475809792,0.8056659838285294,0.13864233596324244,0.18707296207298826,0.13325331839418292,0.28618926549685125,0.03638950532230816,0.24874167500650893,0.7415635685737231,0.048798094959586286,0.06448382903898237,0.14981610592169678,0.06803506262337417,0.2896272867383955,0.038221099885958225,0.22563532985745083,0.45864506283057616,0.17227312654359675,0.23442544926521586,0.6452855845253374,0.30065047937238354,0.7187992515584599,0.16748701790066559,0.21219130141331818,0.03868665485365543,0.22917215997898482,0.1476759147613792,0.01518986762262427,0.2825517574973024,0.596640763293996,0.0035323677712020647,0.03928601399296186,0.19742251921448586,0.03439734903619964,0.5366506851378996,0.048378490734734776,0.02223983588885083,0.21296807946891635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longest_homopolymer_run,0.01315295433860074,0.018049723861403025,0.011068119474811133,0.012753416799048307,0.020499367848539327,0.3321139495955272,0.028369346525698266,0.1468174850936172,0.8758040031315562,1.0,0.3023523217840855,0.11495778079786848,0.4221631846805664,0.25930624143018133,0.08710528842737325,0.1883627066580948,0.2423178223632059,0.07574218571772079,0.04456468385504473,0.4433670152431611,0.19624401957404544,0.15343162964657223,0.32403767916807985,0.07701468788715406,0.2218110847603735,0.2063061992180119,0.8067437395855211,0.13612614132551018,0.20593964254867392,0.21831322188604457,0.25812794455055976,0.027522163369705897,0.334296535534427,0.8064286580169493,0.1726316653721326,0.06037384111985189,0.18605865858792986,0.052399726216447395,0.37199279487208364,0.018722575591048906,0.1876897140131726,0.5934458257071649,0.17393160189197843,0.2738105513693851,0.5953483392408665,0.41211422461549774,0.773813994142244,0.31211520814526456,0.29557364887100446,0.0715380115056153,0.33325237840102767,0.19213067202237558,0.08420906150170944,0.2695123358203468,0.6442722992323958,0.0005781773362518755,0.05477115196994805,0.14228029307470683,0.061701826563766535,0.6433592122700995,0.04801962700559088,0.06926013074911691,0.2585962436670432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methyl_mean_fraction,0.021413339228854848,0.021306842050065406,0.018354766264867987,0.016122721618589568,0.023463063798819708,0.23045655606551027,0.26725576890626934,0.19900990425655085,0.30570325664285747,0.3023523217840855,1.0,0.1089299631295309,0.7300233076747055,0.17392111839468677,0.4207903572782421,0.517419522379653,0.44915479205538833,0.3409601649732942,0.029487852613154533,0.017048438779051735,0.7250027295363816,0.10652606544011158,0.42429166855144634,0.21754906237629965,0.8970879548025549,0.16116181646863395,0.2735811839269105,0.35282486303393246,0.4086918915648195,0.054557807275074394,0.8201630978490124,0.07269142355045073,0.7318523286415051,0.3973755650420538,0.02471547968652051,0.11656539240247972,0.5292572479019185,0.2142872905842016,0.12337694336890452,0.6046648020073462,0.7435000522505727,0.0214368080674419,0.4880949694353265,0.5037262032550657,0.38605312353331755,0.18236034270978513,0.2656875358518985,0.006049399050288323,0.2365047112690312,0.380141310017525,0.14600220620675938,0.027219142245987076,0.08900377660882053,0.6606944298632548,0.229668570185226,0.004641570840506424,0.14728647258587485,0.17757007756102391,0.0851029929317601,0.19349031620476503,0.3704012945832394,0.22059481181667115,0.027788965859894297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rna_mean_position,0.018647769227773055,0.02704823263030566,0.009067012394436564,0.014384059038894158,0.04304748327955099,0.03978980382897348,0.38570787815345375,0.822133610833799,0.19676607724507322,0.11495778079786848,0.1089299631295309,1.0,0.11987456248265142,0.7300695230012546,0.43403920818195924,0.14448463841631837,0.6907081263322788,0.28590135747449447,0.06025611723689526,0.169073436454821,0.5877597482712992,0.8707643152450402,0.6193024618673332,0.2679102441732049,0.3126882084842275,0.7014958328181236,0.38410197519864164,0.3642721031758632,0.16684134753123017,0.8054418468726281,0.046876525404349174,0.02219966231845742,0.06840448837000687,0.020225833215895595,0.10482252164130557,0.013348608737806184,0.15003955159315446,0.0631190300614757,0.4448239058330077,0.04356809638321449,0.17705691636788845,0.27820771491346274,0.09436206412981114,0.27576682037460176,0.1115036974731835,0.4092159605396903,0.10803712028655718,0.27720951064661536,0.7500805912293186,0.12664862222609666,0.7222189718507315,0.2692807454115374,0.13841298087275938,0.43042495693871075,0.3225708046993907,0.03532289976553131,0.0533815128052118,0.8893451428005401,0.07681708081233775,0.23808757532000513,0.11344693653363158,0.09710589715889738,0.317927395603097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modified_token_mean_fraction,0.01473959298474762,0.014511707898591195,0.014568181745957838,0.012575135702738159,0.016363438823984517,0.49261842614989665,0.2676376362712665,0.1425129878073021,0.4442244884209968,0.4221631846805664,0.7300233076747055,0.11987456248265142,1.0,0.28090939878179144,0.36559564347252943,0.4008581289891755,0.6617346635055504,0.28763887494137697,0.02150370113883777,0.1450244738249919,0.5097510037806381,0.13430451673745333,0.47937080580290603,0.18293613613693877,0.6707550257037137,0.08485709682638441,0.33986817856383816,0.2916412106148531,0.2886673379864309,0.14704248998366493,0.6019155724662284,0.0756330118260085,0.5027120307769783,0.4854976766518223,0.0109415602587507,0.16018292372536677,0.41123221670064586,0.16804107536889343,0.0013567458578707572,0.053144340536164306,0.5670647561992241,0.10976804705120054,0.36425278756938656,0.3880343399083475,0.4669939040337296,0.06991742588674678,0.3758613415190812,0.0037721580613961927,0.31343671920880584,0.09776618918112055,0.2209203778208265,0.018003977224532418,0.0848801155189742,0.8262804974517549,0.32785866591988616,0.0025243156310118127,0.08321190296564888,0.23437458819800316,0.0830926154104695,0.2985521054863462,0.042233120666684554,0.15048338116486296,0.05433990518877266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_rU_count,0.008656190332940131,0.004257458489758096,0.0013646037161725714,0.002157079009422089,0.0005608720575880316,0.31972675090405256,0.23814278858097607,0.6726275406435596,0.2625037475335439,0.25930624143018133,0.17392111839468677,0.7300695230012546,0.28090939878179144,1.0,0.3785393941673422,0.17805357895503,0.7506209725165677,0.3619017865000633,0.03858176782521182,0.7223729170787091,0.6064503916953472,0.7830490681631074,0.8858791610250594,0.4071022850717185,0.32037038859331335,0.6611868463265116,0.029226233016939572,0.3708045791816355,0.004351855800443476,0.8102925916141165,0.027918348190486924,0.08481315247250426,0.03369434418802814,0.29122678747670994,0.21788400041073544,0.04173312500957498,0.1612477581857509,0.008604375207839769,0.6013336473271051,0.09440354591623976,0.16637669665749052,0.37372360397379445,0.25755788325289347,0.3505793736394452,0.4759473327352901,0.557848554861466,0.5531934412472896,0.3164944667784813,0.6998613331473551,0.10841478547601417,0.684397254113863,0.2555698086349643,0.061330780622257164,0.468022266155524,0.5020884617671434,0.0040844191936595465,0.04134388069021282,0.6635263488079203,0.004741098198540018,0.36770739646256084,0.055540561837017485,0.04668117559854676,0.41773831457649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mod_density_3p,0.03111854898284909,0.021937074639705307,0.019581239777377905,0.009791523515968136,0.013443828213547462,0.1937570623893729,0.8530240398473511,0.8460806052327927,0.1345868341807611,0.08710528842737325,0.4207903572782421,0.43403920818195924,0.36559564347252943,0.3785393941673422,1.0,0.7156082798093493,0.24044692765060066,0.8700090166481426,0.031228585147865254,0.4551576143744075,0.1552543564838661,0.38243875264696925,0.041244421312765615,0.671938820396649,0.44868106009315234,0.6630982507663461,0.3453257333474003,0.8609820805617562,0.2040827321761526,0.5242966427200946,0.34973176321632227,0.10003283870280462,0.20808934982806518,0.366494436179466,0.037215167148984596,0.02650448907222869,0.7434385462083931,0.037288278364316946,0.6771848936718426,0.17553493677750223,0.8014420329186263,0.1807060277076165,0.570779874606761,0.46200402343877833,0.1683710708803564,0.6230434100559586,0.007604414198679379,0.11502201445464222,0.09742228561715886,0.09195435564149632,0.16954911164696101,0.08455783035088149,0.048968901969750074,0.38378768635542876,0.07108449787915386,0.0033234231018759797,0.03733384325886759,0.08496770174400532,0.025945350783746907,0.04582344374450677,0.09877315321233578,0.15442161133329407,0.19186571689579038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
