model,fold,rows,failures,average_precision,roc_auc,brier_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp,training_fraction,training_rows,training_failures
hist_gradient_boosting,1,529,17,0.1887107062409306,0.6402228860294117,0.029517901441280053,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.5,0.1111111111111111,0.07547169811320754,510,2,14,3,0.1,212,7
hist_gradient_boosting,1,529,17,0.10425768666362673,0.5966796875,0.03226327534448415,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.07407407407407407,0.03773584905660377,511,1,16,1,0.2,424,14
hist_gradient_boosting,1,529,17,0.12531182368770166,0.509420955882353,0.0315099783522266,0.23529411764705882,0.058823529411764705,0.0,0.3333333333333333,0.14814814814814814,0.09433962264150944,509,3,16,1,0.4,847,28
hist_gradient_boosting,1,529,17,0.05934635878586646,0.5769761029411764,0.03410221849606369,0.058823529411764705,0.0,0.0,0.16666666666666666,0.037037037037037035,0.03773584905660377,510,2,17,0,0.6,1271,41
hist_gradient_boosting,1,529,17,0.08377261773169124,0.5684168198529411,0.03455410461658698,0.23529411764705882,0.0,0.0,0.16666666666666666,0.14814814814814814,0.07547169811320754,507,5,16,1,0.8,1694,55
hist_gradient_boosting,1,529,17,0.07067051092077721,0.5284352022058824,0.03397791202442252,0.0,0.0,0.0,0.16666666666666666,0.14814814814814814,0.07547169811320754,508,4,17,0,1.0,2117,69
hist_gradient_boosting,2,530,18,0.06457994239844574,0.5077039930555556,0.041396205335616366,0.05555555555555555,0.05555555555555555,0.0,0.16666666666666666,0.037037037037037035,0.03773584905660377,502,10,17,1,0.1,212,7
hist_gradient_boosting,2,530,18,0.0389628836564324,0.5587022569444444,0.0424457359475141,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,507,5,18,0,0.2,424,14
hist_gradient_boosting,2,530,18,0.07373060975235371,0.5129665798611112,0.0379355400518361,0.0,0.0,0.0,0.0,0.14814814814814814,0.11320754716981132,507,5,18,0,0.4,847,27
hist_gradient_boosting,2,530,18,0.11963009153197811,0.5986870659722222,0.03705389376755747,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.07407407407407407,0.07547169811320754,508,4,17,1,0.6,1270,41
hist_gradient_boosting,2,530,18,0.17352635723189036,0.6271158854166666,0.03431273066417849,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.14814814814814814,0.07547169811320754,509,3,16,2,0.8,1693,54
hist_gradient_boosting,2,530,18,0.12148394401442747,0.6426323784722222,0.03456538058931929,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.07547169811320754,509,3,17,1,1.0,2116,68
hist_gradient_boosting,3,529,17,0.029564430923673772,0.3924057904411765,0.035613536678061074,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,509,3,17,0,0.1,212,7
hist_gradient_boosting,3,529,17,0.04237277052697146,0.5492302389705882,0.03817556147665468,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,508,4,17,0,0.2,424,14
hist_gradient_boosting,3,529,17,0.16923691751392664,0.6791704963235293,0.030317926266419635,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.07407407407407407,0.05660377358490566,512,0,15,2,0.4,847,28
hist_gradient_boosting,3,529,17,0.10902465138078003,0.6248276654411764,0.03173284373971611,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.07407407407407407,0.07547169811320754,512,0,17,0,0.6,1271,41
hist_gradient_boosting,3,529,17,0.15613662617443574,0.5810546875,0.030492207729792598,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.07407407407407407,0.05660377358490566,512,0,15,2,0.8,1694,55
hist_gradient_boosting,3,529,17,0.17747089940278551,0.6070197610294117,0.028973227520790377,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.1111111111111111,0.05660377358490566,512,0,15,2,1.0,2117,69
hist_gradient_boosting,4,529,17,0.11228647956176557,0.6672219669117647,0.032967299670039175,0.11764705882352941,0.058823529411764705,0.0,0.3333333333333333,0.1111111111111111,0.05660377358490566,510,2,16,1,0.1,212,7
hist_gradient_boosting,4,529,17,0.03493925171736022,0.49908088235294124,0.03842156845886396,0.0,0.0,0.0,0.0,0.0,0.0,507,5,17,0,0.2,424,14
hist_gradient_boosting,4,529,17,0.2081982636948439,0.5587660845588235,0.02915450636323447,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.5,0.1111111111111111,0.05660377358490566,512,0,16,1,0.4,847,28
hist_gradient_boosting,4,529,17,0.17671377211638356,0.6310317095588235,0.02917719124037115,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.1111111111111111,0.07547169811320754,512,0,16,1,0.6,1271,41
hist_gradient_boosting,4,529,17,0.22294641715098085,0.6513671875,0.027177082578408708,0.35294117647058826,0.23529411764705882,0.17647058823529413,0.6666666666666666,0.2222222222222222,0.1320754716981132,511,1,14,3,0.8,1694,55
hist_gradient_boosting,4,529,17,0.18997476362717888,0.6736557904411765,0.029247145370102343,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.5,0.14814814814814814,0.09433962264150944,511,1,14,3,1.0,2117,69
hist_gradient_boosting,5,529,17,0.033374020019081636,0.4763327205882353,0.03305607634404611,0.0,0.0,0.0,0.0,0.037037037037037035,0.018867924528301886,512,0,17,0,0.1,212,7
hist_gradient_boosting,5,529,17,0.05168565400489672,0.6293658088235294,0.03753120835409392,0.0,0.0,0.0,0.0,0.037037037037037035,0.07547169811320754,510,2,17,0,0.2,424,14
hist_gradient_boosting,5,529,17,0.08847965396181431,0.6577435661764706,0.03330543295450001,0.058823529411764705,0.0,0.0,0.16666666666666666,0.14814814814814814,0.09433962264150944,510,2,16,1,0.4,847,28
hist_gradient_boosting,5,529,17,0.08441916313108513,0.6067325367647058,0.03281706133228394,0.0,0.0,0.0,0.16666666666666666,0.14814814814814814,0.11320754716981132,510,2,17,0,0.6,1271,41
hist_gradient_boosting,5,529,17,0.06520484506541183,0.6680836397058824,0.03506933075374405,0.0,0.0,0.0,0.0,0.07407407407407407,0.11320754716981132,508,4,17,0,0.8,1694,55
hist_gradient_boosting,5,529,17,0.10527492661909806,0.7079503676470588,0.03254744815129098,0.0,0.0,0.0,0.0,0.2222222222222222,0.1320754716981132,509,3,17,0,1.0,2117,69
