selector,model,fold,rows,mae,rmse,r2,pearson_r,spearman_r,strategy
extra_trees_top_40,elastic_net,1,531,4.618590392222182,6.8378821884924825,0.6107706466458978,0.7822658047878127,0.7637753472635314,unbalanced
extra_trees_top_40,elastic_net,1,531,7.776840818848322,9.651177731123179,0.22460502236117497,0.7229021189377605,0.6772227112119826,fail_weighted
extra_trees_top_40,elastic_net,1,531,7.839910381362126,9.697089217794112,0.21721023341208412,0.7242988099814398,0.6803876321509315,fail_oversampled
extra_trees_top_40,hist_gradient_boosting,1,531,4.25990944682119,6.328095523430924,0.6666438978759593,0.817341480348292,0.7489225376969881,unbalanced
extra_trees_top_40,hist_gradient_boosting,1,531,5.219093726197487,7.218558234669176,0.5662262313141948,0.7746482524205036,0.705224820929085,fail_weighted
extra_trees_top_40,hist_gradient_boosting,1,531,5.068249327366881,7.038516451441826,0.5875943401598939,0.7819118676864221,0.7113090115105505,fail_oversampled
extra_trees_top_40,extra_trees,1,531,4.202678600637783,6.266980056997014,0.6730517763306065,0.8209838652246807,0.7710811070505831,unbalanced
extra_trees_top_40,extra_trees,1,531,4.986978732885142,6.92367661739027,0.6009421051689536,0.7943766056893606,0.726517027185241,fail_weighted
extra_trees_top_40,extra_trees,1,531,4.911601321479035,6.825744767376522,0.6121512050165954,0.7943068438853946,0.721841417928543,fail_oversampled
extra_trees_top_40,elastic_net,2,531,4.7219779777606465,6.7730081491133785,0.6151215420890022,0.7845837133410932,0.7379276201356006,unbalanced
extra_trees_top_40,elastic_net,2,531,7.313703186923681,8.948484784503142,0.32816996517933916,0.7292493615276138,0.6480534616854404,fail_weighted
extra_trees_top_40,elastic_net,2,531,7.237882487337136,8.840117925414072,0.34434326841132756,0.7363528004522465,0.6554592745118842,fail_oversampled
extra_trees_top_40,hist_gradient_boosting,2,531,4.327389938233309,6.234678954519895,0.6738716166516148,0.8210555073763758,0.7383239209618278,unbalanced
extra_trees_top_40,hist_gradient_boosting,2,531,4.983710421639329,7.049715054418926,0.5830312244240681,0.7733219248181641,0.7033903902287865,fail_weighted
extra_trees_top_40,hist_gradient_boosting,2,531,4.853450687929191,6.982420966454056,0.5909537035746988,0.7761945524570001,0.7211475091032723,fail_oversampled
extra_trees_top_40,extra_trees,2,531,4.295730566294377,6.280635706630878,0.6690460145497916,0.8182818697814573,0.7496109840359739,unbalanced
extra_trees_top_40,extra_trees,2,531,4.990868447832677,6.864709646480723,0.6046290528105551,0.7967108799715261,0.7323271736998143,fail_weighted
extra_trees_top_40,extra_trees,2,531,4.890619549470077,6.770334307380558,0.6154253660106059,0.8008631343234057,0.7419042305272601,fail_oversampled
extra_trees_top_40,elastic_net,3,531,4.4548923470440025,6.49692495188105,0.6589507905429993,0.8134893133098052,0.7619601985621938,unbalanced
extra_trees_top_40,elastic_net,3,531,6.980304637775538,8.588932361769192,0.4039540899416386,0.7773425372798939,0.7166878540385526,fail_weighted
extra_trees_top_40,elastic_net,3,531,7.021573949755765,8.643602770842532,0.3963420187201546,0.7762468292956003,0.7163275565950002,fail_oversampled
extra_trees_top_40,hist_gradient_boosting,3,531,4.045817714233484,5.789194060789172,0.7292069195130837,0.8540992507787134,0.7591779825427378,unbalanced
extra_trees_top_40,hist_gradient_boosting,3,531,4.715111309640406,6.307774879154561,0.6785201793397867,0.8324311658016579,0.7060153935882394,fail_weighted
extra_trees_top_40,hist_gradient_boosting,3,531,4.718653058726432,6.426109689709863,0.6663450165838024,0.8255411992404277,0.7152403324108081,fail_oversampled
extra_trees_top_40,extra_trees,3,531,3.9839034843380654,5.797257210317434,0.7284520767422686,0.8543831568238965,0.7779463930477993,unbalanced
extra_trees_top_40,extra_trees,3,531,4.752462225614766,6.255920472757884,0.6837840403201393,0.8490143399634192,0.7433211288613947,fail_weighted
extra_trees_top_40,extra_trees,3,531,4.603688024396996,6.003713482687509,0.708766544539521,0.8600125148767495,0.7424682449267546,fail_oversampled
extra_trees_top_40,elastic_net,4,530,4.675055059098637,6.618783129476456,0.6411308414121029,0.802691504885752,0.7568069816022642,unbalanced
extra_trees_top_40,elastic_net,4,530,7.906711491760256,9.906924251740033,0.19599727872011752,0.7277169973652396,0.6730560648024573,fail_weighted
extra_trees_top_40,elastic_net,4,530,7.776097520053338,9.805309890481599,0.21240585024699232,0.7258876196510866,0.6724236190556351,fail_oversampled
extra_trees_top_40,hist_gradient_boosting,4,530,4.513804451046899,6.776484035859789,0.6238260884713376,0.8023482764292795,0.7456942739827929,unbalanced
extra_trees_top_40,hist_gradient_boosting,4,530,5.753516849183254,8.381849133193173,0.42448120242072884,0.7236654405455027,0.6933873598419592,fail_weighted
extra_trees_top_40,hist_gradient_boosting,4,530,5.530183686283883,7.793851961668354,0.5023956837630079,0.7545249254282597,0.6972877012865676,fail_oversampled
extra_trees_top_40,extra_trees,4,530,4.084415752684693,5.790474884222302,0.7253319157762749,0.8536542159469817,0.7834713604391321,unbalanced
extra_trees_top_40,extra_trees,4,530,5.4002553472199395,7.135810265531086,0.5828748056744606,0.810509675851876,0.7290067439103408,fail_weighted
extra_trees_top_40,extra_trees,4,530,5.328913993455408,7.391207573052756,0.5524818722878606,0.785013229361449,0.7095486157792485,fail_oversampled
extra_trees_top_40,elastic_net,5,530,4.864667116745788,6.79486819836994,0.6363810970325099,0.7981031408549515,0.7602537496332926,unbalanced
extra_trees_top_40,elastic_net,5,530,7.394834732539252,9.154116897889605,0.3400404978378361,0.7443793265474924,0.7285774613172411,fail_weighted
extra_trees_top_40,elastic_net,5,530,7.438608857431834,9.195683484953419,0.33403346384764065,0.7385748350058263,0.7242914223135607,fail_oversampled
extra_trees_top_40,hist_gradient_boosting,5,530,4.387005655058428,6.33304058354545,0.6841296073059733,0.8273971489252003,0.7805229320583817,unbalanced
extra_trees_top_40,hist_gradient_boosting,5,530,5.682388848100621,7.650566124574937,0.5390312078044316,0.7534262525863362,0.715541947762327,fail_weighted
extra_trees_top_40,hist_gradient_boosting,5,530,5.591255988227804,7.4210730998318235,0.566271662836867,0.7679777657412649,0.720989947851344,fail_oversampled
extra_trees_top_40,extra_trees,5,530,4.369254233213053,6.338642174737759,0.6835705837862234,0.8274796874305326,0.7872734177547264,unbalanced
extra_trees_top_40,extra_trees,5,530,5.424387350432178,7.172460493230018,0.594845461961238,0.7977222217284483,0.7529539022719484,fail_weighted
extra_trees_top_40,extra_trees,5,530,5.293457879517839,7.003058708490156,0.6137576307087164,0.804258938568749,0.752225236515622,fail_oversampled
extra_trees_top_40,elastic_net,overall_oof,2653,7.462705676843861,9.247481533631582,0.3019122827709019,0.7375707989445798,0.6909750651041967,fail_oversampled
extra_trees_top_40,elastic_net,overall_oof,2653,7.474346071844134,9.26192020521163,0.2997306448640402,0.7382609534503142,0.6900715515836721,fail_weighted
extra_trees_top_40,elastic_net,overall_oof,2653,4.666959062924535,6.705501232389113,0.6329497327990448,0.7955960469530714,0.755096241186623,unbalanced
extra_trees_top_40,extra_trees,overall_oof,2653,5.005425825896948,6.813592191619675,0.621020843964671,0.8065979118833184,0.7337829819841681,fail_oversampled
extra_trees_top_40,extra_trees,overall_oof,2653,5.110763258393602,6.878189724024355,0.613800814785789,0.8080446388334845,0.7355250254948773,fail_weighted
extra_trees_top_40,extra_trees,overall_oof,2653,4.187166645439237,6.0998185487704815,0.696263570267393,0.8344645439044142,0.7710311628704611,unbalanced
extra_trees_top_40,hist_gradient_boosting,overall_oof,2653,5.152050701016639,7.14675483623501,0.5830530323348422,0.7793063274690252,0.7133401305568294,fail_oversampled
extra_trees_top_40,hist_gradient_boosting,overall_oof,2653,5.270427111753056,7.353118488998762,0.5586265760229142,0.7684027657955326,0.7068603030280295,fail_weighted
extra_trees_top_40,hist_gradient_boosting,overall_oof,2653,4.30667717148803,6.299942835703672,0.6760065213620754,0.8225544815292487,0.7548739522187186,unbalanced
