selector,feature,selection_count,mean_rank,mean_score
correlation_pruned_top_40,token_length,5,1.0,0.7234134619433531
correlation_pruned_top_40,base_C_count,5,2.0,0.6871335440732012
correlation_pruned_top_40,base_G_count,5,4.0,0.6620301394904293
correlation_pruned_top_40,rna_count_5p,5,4.4,0.656512243691437
correlation_pruned_top_40,token_rG_count,5,5.8,0.6086730583226807
correlation_pruned_top_40,token_rU_count,5,7.0,0.5569324675346492
correlation_pruned_top_40,base_U_count,5,7.6,0.5463125319280702
correlation_pruned_top_40,modified_token_last_position,5,9.0,0.5001859436079263
correlation_pruned_top_40,rna_count_3p,5,10.8,0.4779434849056858
correlation_pruned_top_40,star_mean_position,5,11.0,0.46995272446578973
correlation_pruned_top_40,methyl_position_std,5,11.6,0.46591240951606033
correlation_pruned_top_40,longest_rna_run,5,13.4,0.3882794386122855
correlation_pruned_top_40,longest_rC_run,5,14.0,0.38436240523367743
correlation_pruned_top_40,longest_rG_run,5,16.4,0.36610047641621846
correlation_pruned_top_40,token_rC_fraction,5,16.4,0.36522984332398634
correlation_pruned_top_40,base_C_fraction,5,16.8,0.36687237509189086
correlation_pruned_top_40,max_gc_window_10,5,17.6,0.35733395716871974
correlation_pruned_top_40,longest_gc_run,5,18.8,0.34387672977775924
correlation_pruned_top_40,token_rG_fraction,5,20.4,0.29954343033907216
correlation_pruned_top_40,base_A_fraction,5,21.6,0.28456918897579647
correlation_pruned_top_40,base_G_fraction,5,21.8,0.27797627297444033
correlation_pruned_top_40,star_count_3p,5,23.0,0.25584964392668047
correlation_pruned_top_40,rna_density_5p,5,24.4,0.2126835720811943
correlation_pruned_top_40,slash_mod_first_position,5,25.8,0.1990070284729938
correlation_pruned_top_40,star_density_5p,5,26.0,0.20338920715542624
correlation_pruned_top_40,star_density_middle,5,28.4,0.1760425188651482
correlation_pruned_top_40,star_mean_fraction,5,28.8,0.18065498716316494
correlation_pruned_top_40,slash_mod_first_fraction,5,29.2,0.17120393453334398
correlation_pruned_top_40,token_mA_fraction,5,30.6,0.1663451611508992
correlation_pruned_top_40,token_mU_fraction,5,33.4,0.15387226069934976
correlation_pruned_top_40,methyl_density_5p,5,33.8,0.15048854998785732
correlation_pruned_top_40,rna_last_position,4,3.25,0.666931777792051
correlation_pruned_top_40,modified_token_mean_fraction,4,33.75,0.14799331838370394
correlation_pruned_top_40,longest_slash_mod_run,4,36.5,0.1328776528302564
correlation_pruned_top_40,star_count,4,38.0,0.1356785859013438
correlation_pruned_top_40,rna_first_fraction,3,34.333333333333336,0.1363112444591492
correlation_pruned_top_40,rna_span_fraction,3,35.666666666666664,0.13367597399200284
correlation_pruned_top_40,slash_mod_count_middle,3,39.333333333333336,0.12611952049332867
correlation_pruned_top_40,modified_token_position_std,2,10.0,0.5156079177176793
correlation_pruned_top_40,token_rA_fraction,2,27.0,0.1967357005621394
correlation_pruned_top_40,token_lA_count,2,33.5,0.154340037858323
correlation_pruned_top_40,lna_position_std,2,34.5,0.1489208731251328
correlation_pruned_top_40,token_rU_fraction,2,40.0,0.1311600853288823
correlation_pruned_top_40,lna_span_fraction,1,30.0,0.15822585616563686
correlation_pruned_top_40,star_first_position,1,33.0,0.1431625494023531
correlation_pruned_top_40,longest_lna_run,1,35.0,0.16253888517175735
correlation_pruned_top_40,longest_lA_run,1,36.0,0.1321676177347851
correlation_pruned_top_40,token_lG_count,1,36.0,0.14666228159354336
correlation_pruned_top_40,slash_mod_density_middle,1,37.0,0.15162476694163396
correlation_pruned_top_40,longest_rU_run,1,38.0,0.12818243903611468
correlation_pruned_top_40,token_lT_count,1,38.0,0.12573710957003326
correlation_pruned_top_40,longest_lG_run,1,39.0,0.12348940892752414
correlation_pruned_top_40,token_rA_count,1,40.0,0.12224554369608659
extra_trees_top_40,token_length,5,1.0,0.09993021923675258
extra_trees_top_40,methyl_last_position,5,2.8,0.0821200250758049
extra_trees_top_40,decorated_length,5,3.0,0.07595471733986162
extra_trees_top_40,star_last_position,5,3.6,0.0706358814755325
extra_trees_top_40,base_length,5,4.6,0.06650572017261466
extra_trees_top_40,star_mean_position,5,7.2,0.04515254249217704
extra_trees_top_40,rna_mean_position,5,7.6,0.04424235134170259
extra_trees_top_40,modified_token_last_position,5,8.2,0.04242429453070749
extra_trees_top_40,star_position_std,5,8.4,0.04297883201739421
extra_trees_top_40,rna_last_position,5,9.4,0.03903911105174841
extra_trees_top_40,base_G_count,5,11.0,0.034516691843546755
extra_trees_top_40,base_C_count,5,12.2,0.0307241933734963
extra_trees_top_40,rna_position_std,5,12.6,0.02920854130506829
extra_trees_top_40,methyl_position_std,5,14.8,0.02153298478813337
extra_trees_top_40,rna_count_middle,5,15.0,0.019760883932478747
extra_trees_top_40,token_rC_count,5,15.0,0.022050491992524724
extra_trees_top_40,token_rG_count,5,17.2,0.01624941237916144
extra_trees_top_40,rna_count_5p,5,18.4,0.01271923327953925
extra_trees_top_40,rna_count_3p,5,18.6,0.012360091958041877
extra_trees_top_40,modified_token_position_std,5,20.0,0.010371263446218876
extra_trees_top_40,base_U_count,5,21.6,0.0083503761738942
extra_trees_top_40,methyl_mean_position,5,22.0,0.007679976742708254
extra_trees_top_40,modified_token_mean_position,5,23.4,0.006902818276422848
extra_trees_top_40,longest_rU_run,5,24.8,0.006350873871425531
extra_trees_top_40,longest_rna_run,5,25.8,0.005721566212474766
extra_trees_top_40,base_T_count,5,26.8,0.005641570291985168
extra_trees_top_40,rna_first_fraction,5,29.8,0.004117369784915079
extra_trees_top_40,au_fraction,5,30.6,0.0034301402852857524
extra_trees_top_40,longest_rC_run,5,31.2,0.00342105172490977
extra_trees_top_40,token_rU_count,4,24.25,0.006961783227022325
extra_trees_top_40,star_first_fraction,4,30.25,0.0034701686895019534
extra_trees_top_40,gc_fraction,4,31.5,0.0033161087594334505
extra_trees_top_40,terminal_gc_count,4,34.0,0.0031142472706822775
extra_trees_top_40,base_A_count,4,35.75,0.0028997272391145757
extra_trees_top_40,has_slash_mod,4,37.5,0.0026269816412964105
extra_trees_top_40,longest_homopolymer_run,4,38.25,0.002637817931388028
extra_trees_top_40,slash_mod_span_fraction,3,30.666666666666668,0.003925419479917518
extra_trees_top_40,max_gc_window_10,3,33.333333333333336,0.002816441407584204
extra_trees_top_40,base_G_fraction,3,34.0,0.003050922031563864
extra_trees_top_40,longest_rA_run,3,34.333333333333336,0.0027379992852589953
extra_trees_top_40,base_A_fraction,3,38.333333333333336,0.0024858264224338587
extra_trees_top_40,slash_mod_position_std,2,34.5,0.003949601813781478
extra_trees_top_40,star_span_fraction,2,35.0,0.002833722636645524
extra_trees_top_40,base_C_fraction,2,39.0,0.0024371326402476664
extra_trees_top_40,star_mean_fraction,1,29.0,0.004097369546516654
extra_trees_top_40,repeated_dinucleotide_count,1,31.0,0.0029630225461454466
extra_trees_top_40,star_last_fraction,1,36.0,0.002534164798805173
extra_trees_top_40,slash_mod_last_fraction,1,37.0,0.002735052581493413
extra_trees_top_40,token_rA_count,1,39.0,0.0023516591464841714
extra_trees_top_40,longest_star_run,1,40.0,0.0023123575418749526
mutual_info_top_40,token_length,5,1.8,0.6303425881468951
mutual_info_top_40,modified_token_last_position,5,2.0,0.6282979081637556
mutual_info_top_40,decorated_length,5,3.2,0.6159332021145736
mutual_info_top_40,base_length,5,4.6,0.6121967429900994
mutual_info_top_40,star_last_position,5,6.2,0.5965353914039575
mutual_info_top_40,methyl_last_position,5,6.6,0.5907006430374833
mutual_info_top_40,star_first_fraction,5,8.2,0.5849680984417598
mutual_info_top_40,star_mean_position,5,8.4,0.5850612029550935
mutual_info_top_40,rna_position_std,5,9.2,0.579943380519045
mutual_info_top_40,rna_first_fraction,5,9.4,0.5789315890382937
mutual_info_top_40,star_position_std,5,9.8,0.5761698882326952
mutual_info_top_40,rna_mean_position,5,10.8,0.5711441061525423
mutual_info_top_40,modified_token_position_std,5,12.8,0.5657229487996915
mutual_info_top_40,methyl_position_std,5,14.4,0.5549441100142739
mutual_info_top_40,mod_density_5p,5,16.4,0.5420984171778972
mutual_info_top_40,modified_token_density_5p,5,17.0,0.542214885150006
mutual_info_top_40,rna_span_fraction,5,18.0,0.5387628321555548
mutual_info_top_40,rna_last_position,5,19.0,0.5345540702331807
mutual_info_top_40,methyl_mean_position,5,20.8,0.5332018335257754
mutual_info_top_40,rna_count_middle,5,20.8,0.528770288973708
mutual_info_top_40,star_density,5,22.2,0.5279993998367063
mutual_info_top_40,rna_density_5p,5,23.0,0.5273620468226399
mutual_info_top_40,modified_token_mean_position,5,23.2,0.5241156313613418
mutual_info_top_40,mod_density_3p,5,24.0,0.5241589996765587
mutual_info_top_40,star_density_5p,5,24.6,0.5222941923534821
mutual_info_top_40,methyl_density_5p,5,25.2,0.5203174251174065
mutual_info_top_40,modified_token_density_3p,5,25.4,0.5200415461441475
mutual_info_top_40,rna_density_3p,5,27.0,0.5129468748095318
mutual_info_top_40,star_last_fraction,5,27.0,0.5108696684012537
mutual_info_top_40,star_span_fraction,5,28.6,0.5065690344738436
mutual_info_top_40,base_G_count,5,30.2,0.5028850942744088
mutual_info_top_40,rna_count_5p,5,31.6,0.49657194334499416
mutual_info_top_40,star_density_3p,5,32.6,0.49030514996575797
mutual_info_top_40,longest_rna_run,5,33.4,0.48130568728256745
mutual_info_top_40,rna_count_3p,5,33.4,0.4889040785161051
mutual_info_top_40,methyl_density_3p,5,35.8,0.47715569376637773
mutual_info_top_40,base_C_count,5,37.2,0.45545816463462474
mutual_info_top_40,base_A_count,5,37.4,0.45958666278085963
mutual_info_top_40,base_T_count,2,39.0,0.43886531883288327
mutual_info_top_40,rna_last_fraction,2,39.0,0.4279518425423987
mutual_info_top_40,token_mU_fraction,2,39.5,0.44811513384244916
mutual_info_top_40,base_U_count,1,39.0,0.43199389229846963
mutual_info_top_40,token_mG_fraction,1,40.0,0.4261291720018292
mutual_info_top_40,token_rC_count,1,40.0,0.44241744252465454
mutual_info_top_40,token_rG_count,1,40.0,0.42328422784881026
