feature,score,rank,selector,fold,selected_feature_count
methyl_position_std,0.5361037282852279,18,mutual_info_top_40,3,40
rna_density_3p,0.5296054499237735,19,mutual_info_top_40,3,40
rna_last_position,0.5284475414308814,20,mutual_info_top_40,3,40
star_density_5p,0.5263226927660565,21,mutual_info_top_40,3,40
rna_span_fraction,0.5230586866728744,22,mutual_info_top_40,3,40
modified_token_mean_position,0.5209346720131998,23,mutual_info_top_40,3,40
mod_density_3p,0.5170701034348819,24,mutual_info_top_40,3,40
methyl_density_5p,0.5160760746949244,25,mutual_info_top_40,3,40
rna_count_middle,0.5139922980152445,26,mutual_info_top_40,3,40
modified_token_density_3p,0.5119037029589459,27,mutual_info_top_40,3,40
star_density,0.5116749457641339,28,mutual_info_top_40,3,40
star_last_fraction,0.5003878091445659,29,mutual_info_top_40,3,40
longest_rna_run,0.49388222873810284,30,mutual_info_top_40,3,40
rna_count_5p,0.490662507513107,31,mutual_info_top_40,3,40
star_density_3p,0.4871513739040134,32,mutual_info_top_40,3,40
base_G_count,0.48556155222231423,33,mutual_info_top_40,3,40
star_span_fraction,0.4826016025985278,34,mutual_info_top_40,3,40
rna_count_3p,0.48134549279420025,35,mutual_info_top_40,3,40
methyl_density_3p,0.47709778934824243,36,mutual_info_top_40,3,40
base_A_count,0.4656879483384313,37,mutual_info_top_40,3,40
base_C_count,0.43349757138679346,38,mutual_info_top_40,3,40
rna_last_fraction,0.4269613948405433,39,mutual_info_top_40,3,40
token_rG_count,0.42328422784881026,40,mutual_info_top_40,3,40
token_length,0.09818273731101801,1,extra_trees_top_40,3,40
decorated_length,0.07841785396303302,2,extra_trees_top_40,3,40
star_last_position,0.07816791048461547,3,extra_trees_top_40,3,40
base_length,0.07387844431624584,4,extra_trees_top_40,3,40
methyl_last_position,0.07106250737750516,5,extra_trees_top_40,3,40
rna_last_position,0.04482573128282254,6,extra_trees_top_40,3,40
star_mean_position,0.04268572083512151,7,extra_trees_top_40,3,40
rna_mean_position,0.04030660516105937,8,extra_trees_top_40,3,40
modified_token_last_position,0.03981535427823415,9,extra_trees_top_40,3,40
base_C_count,0.0387405781386392,10,extra_trees_top_40,3,40
star_position_std,0.034983982513576574,11,extra_trees_top_40,3,40
base_G_count,0.031171472359669102,12,extra_trees_top_40,3,40
rna_position_std,0.028574886822895426,13,extra_trees_top_40,3,40
token_rC_count,0.025578071141228297,14,extra_trees_top_40,3,40
rna_count_middle,0.02205947156642364,15,extra_trees_top_40,3,40
methyl_position_std,0.021211319798825082,16,extra_trees_top_40,3,40
token_rG_count,0.020696722341900196,17,extra_trees_top_40,3,40
rna_count_5p,0.015429127689461102,18,extra_trees_top_40,3,40
rna_count_3p,0.012113790981662402,19,extra_trees_top_40,3,40
methyl_mean_position,0.009316624251726002,20,extra_trees_top_40,3,40
modified_token_position_std,0.008603321052589305,21,extra_trees_top_40,3,40
modified_token_mean_position,0.008599919426108658,22,extra_trees_top_40,3,40
base_T_count,0.00810415054004406,23,extra_trees_top_40,3,40
base_U_count,0.0063140489115895825,24,extra_trees_top_40,3,40
longest_rU_run,0.006001596880101069,25,extra_trees_top_40,3,40
longest_rna_run,0.0056944572945687435,26,extra_trees_top_40,3,40
au_fraction,0.0034826890557846674,27,extra_trees_top_40,3,40
longest_rC_run,0.003370261226846509,28,extra_trees_top_40,3,40
star_first_fraction,0.0031312828452114555,29,extra_trees_top_40,3,40
longest_rA_run,0.002983709088522654,30,extra_trees_top_40,3,40
repeated_dinucleotide_count,0.0029630225461454466,31,extra_trees_top_40,3,40
max_gc_window_10,0.0029472646566548947,32,extra_trees_top_40,3,40
gc_fraction,0.002805910118753371,33,extra_trees_top_40,3,40
base_G_fraction,0.0027570269216658947,34,extra_trees_top_40,3,40
rna_first_fraction,0.0027445877829377387,35,extra_trees_top_40,3,40
terminal_gc_count,0.002713372817806088,36,extra_trees_top_40,3,40
base_A_fraction,0.0024739485754174018,37,extra_trees_top_40,3,40
base_C_fraction,0.0024080270959967905,38,extra_trees_top_40,3,40
longest_homopolymer_run,0.0023898410162146466,39,extra_trees_top_40,3,40
has_slash_mod,0.0023691177828089956,40,extra_trees_top_40,3,40
token_length,0.7134381077009837,1,correlation_pruned_top_40,4,40
base_C_count,0.6827844719927725,2,correlation_pruned_top_40,4,40
rna_last_position,0.6612857861689709,3,correlation_pruned_top_40,4,40
base_G_count,0.6553849710695351,4,correlation_pruned_top_40,4,40
rna_count_5p,0.6512320287146246,5,correlation_pruned_top_40,4,40
token_rG_count,0.6103913917129572,6,correlation_pruned_top_40,4,40
token_rU_count,0.542014489285554,7,correlation_pruned_top_40,4,40
base_U_count,0.5235971517574965,8,correlation_pruned_top_40,4,40
rna_count_3p,0.48079503241944155,9,correlation_pruned_top_40,4,40
modified_token_last_position,0.47055731295367237,10,correlation_pruned_top_40,4,40
star_mean_position,0.447610356878109,11,correlation_pruned_top_40,4,40
methyl_position_std,0.4407665124134679,12,correlation_pruned_top_40,4,40
longest_rC_run,0.3864176590015258,13,correlation_pruned_top_40,4,40
longest_rna_run,0.3854633746786793,14,correlation_pruned_top_40,4,40
token_rC_fraction,0.3815773423001873,15,correlation_pruned_top_40,4,40
base_C_fraction,0.3764298879034907,16,correlation_pruned_top_40,4,40
longest_rG_run,0.3738335314822965,17,correlation_pruned_top_40,4,40
max_gc_window_10,0.3510964163841683,18,correlation_pruned_top_40,4,40
longest_gc_run,0.3455812003513662,19,correlation_pruned_top_40,4,40
token_rG_fraction,0.31151745088393323,20,correlation_pruned_top_40,4,40
base_A_fraction,0.28114320791029374,21,correlation_pruned_top_40,4,40
base_G_fraction,0.27775189156095553,22,correlation_pruned_top_40,4,40
star_count_3p,0.23814349609746766,23,correlation_pruned_top_40,4,40
rna_density_5p,0.22442750715510007,24,correlation_pruned_top_40,4,40
star_density_5p,0.21257476504349257,25,correlation_pruned_top_40,4,40
slash_mod_first_position,0.2004234099472013,26,correlation_pruned_top_40,4,40
slash_mod_first_fraction,0.17904332268370543,27,correlation_pruned_top_40,4,40
star_density_middle,0.17602514539407643,28,correlation_pruned_top_40,4,40
token_mA_fraction,0.17601683819150743,29,correlation_pruned_top_40,4,40
methyl_density_5p,0.1659506358159013,30,correlation_pruned_top_40,4,40
token_mU_fraction,0.16542226579305044,31,correlation_pruned_top_40,4,40
star_mean_fraction,0.16391417256284288,32,correlation_pruned_top_40,4,40
star_first_position,0.1431625494023531,33,correlation_pruned_top_40,4,40
rna_span_fraction,0.14126700731554373,34,correlation_pruned_top_40,4,40
token_lA_count,0.13913374986650925,35,correlation_pruned_top_40,4,40
rna_first_fraction,0.13469870415237448,36,correlation_pruned_top_40,4,40
longest_slash_mod_run,0.1334843566675137,37,correlation_pruned_top_40,4,40
longest_rU_run,0.12818243903611468,38,correlation_pruned_top_40,4,40
longest_lG_run,0.12348940892752414,39,correlation_pruned_top_40,4,40
token_rU_fraction,0.12246904356702916,40,correlation_pruned_top_40,4,40
token_length,0.6203550713067325,1,mutual_info_top_40,4,40
decorated_length,0.6200147072255997,2,mutual_info_top_40,4,40
base_length,0.6113612397437844,3,mutual_info_top_40,4,40
modified_token_last_position,0.5952171597251605,4,mutual_info_top_40,4,40
rna_position_std,0.5856025174192374,5,mutual_info_top_40,4,40
star_first_fraction,0.5799804918890081,6,mutual_info_top_40,4,40
methyl_last_position,0.576227183604912,7,mutual_info_top_40,4,40
star_last_position,0.5712037242925225,8,mutual_info_top_40,4,40
methyl_position_std,0.5701638540639604,9,mutual_info_top_40,4,40
star_mean_position,0.560759422813371,10,mutual_info_top_40,4,40
modified_token_position_std,0.5527797957065692,11,mutual_info_top_40,4,40
star_position_std,0.5521859596837131,12,mutual_info_top_40,4,40
modified_token_density_5p,0.538972475339373,13,mutual_info_top_40,4,40
rna_mean_position,0.5385834273121914,14,mutual_info_top_40,4,40
methyl_mean_position,0.5320447421409304,15,mutual_info_top_40,4,40
rna_first_fraction,0.5290947678728086,16,mutual_info_top_40,4,40
star_density,0.5232879813468796,17,mutual_info_top_40,4,40
rna_last_position,0.5198825219613852,18,mutual_info_top_40,4,40
mod_density_5p,0.5174057648955381,19,mutual_info_top_40,4,40
rna_count_middle,0.5138382065221387,20,mutual_info_top_40,4,40
star_last_fraction,0.5104428311357934,21,mutual_info_top_40,4,40
rna_span_fraction,0.5096285000052068,22,mutual_info_top_40,4,40
rna_density_5p,0.5067869152715256,23,mutual_info_top_40,4,40
star_density_5p,0.506289014912864,24,mutual_info_top_40,4,40
modified_token_density_3p,0.5042063634209293,25,mutual_info_top_40,4,40
modified_token_mean_position,0.5029393445250383,26,mutual_info_top_40,4,40
star_span_fraction,0.5027281664665133,27,mutual_info_top_40,4,40
mod_density_3p,0.5021645967466712,28,mutual_info_top_40,4,40
base_G_count,0.4977649491550138,29,mutual_info_top_40,4,40
methyl_density_5p,0.4939189294279438,30,mutual_info_top_40,4,40
longest_rna_run,0.49150765501607774,31,mutual_info_top_40,4,40
rna_density_3p,0.49016898971016243,32,mutual_info_top_40,4,40
rna_count_3p,0.4830868054640338,33,mutual_info_top_40,4,40
rna_count_5p,0.4821040743357172,34,mutual_info_top_40,4,40
star_density_3p,0.46410731409803807,35,mutual_info_top_40,4,40
base_C_count,0.4620874891576561,36,mutual_info_top_40,4,40
methyl_density_3p,0.4600162740848277,37,mutual_info_top_40,4,40
base_T_count,0.4525651482350934,38,mutual_info_top_40,4,40
base_A_count,0.4525439382495642,39,mutual_info_top_40,4,40
token_mU_fraction,0.44972978412203224,40,mutual_info_top_40,4,40
token_length,0.09902686492699747,1,extra_trees_top_40,4,40
decorated_length,0.08730386774894532,2,extra_trees_top_40,4,40
methyl_last_position,0.07340561088494736,3,extra_trees_top_40,4,40
base_length,0.06930524272243192,4,extra_trees_top_40,4,40
star_last_position,0.05727805444588315,5,extra_trees_top_40,4,40
star_mean_position,0.047981720470881055,6,extra_trees_top_40,4,40
rna_mean_position,0.046444601188739845,7,extra_trees_top_40,4,40
star_position_std,0.0456178757600005,8,extra_trees_top_40,4,40
base_G_count,0.043449013812830985,9,extra_trees_top_40,4,40
rna_last_position,0.04020852903624528,10,extra_trees_top_40,4,40
modified_token_last_position,0.03785231646928644,11,extra_trees_top_40,4,40
base_C_count,0.03301451409793775,12,extra_trees_top_40,4,40
rna_position_std,0.03221606875921642,13,extra_trees_top_40,4,40
rna_count_middle,0.02049840720882128,14,extra_trees_top_40,4,40
token_rG_count,0.020271684811246138,15,extra_trees_top_40,4,40
token_rC_count,0.02006624237853773,16,extra_trees_top_40,4,40
methyl_position_std,0.015754407898529246,17,extra_trees_top_40,4,40
rna_count_5p,0.012548800376361023,18,extra_trees_top_40,4,40
rna_count_3p,0.012271116163830495,19,extra_trees_top_40,4,40
modified_token_position_std,0.01023038046188257,20,extra_trees_top_40,4,40
base_U_count,0.007151272007611934,21,extra_trees_top_40,4,40
methyl_mean_position,0.006421856177290848,22,extra_trees_top_40,4,40
modified_token_mean_position,0.006152811029715171,23,extra_trees_top_40,4,40
longest_rU_run,0.006067052170519162,24,extra_trees_top_40,4,40
longest_rna_run,0.00515248855793684,25,extra_trees_top_40,4,40
rna_first_fraction,0.004845269063587348,26,extra_trees_top_40,4,40
token_rU_count,0.004311068087135542,27,extra_trees_top_40,4,40
au_fraction,0.004210862447583801,28,extra_trees_top_40,4,40
gc_fraction,0.003957651260943698,29,extra_trees_top_40,4,40
terminal_gc_count,0.0038850698450879463,30,extra_trees_top_40,4,40
base_T_count,0.0032535437458862397,31,extra_trees_top_40,4,40
star_span_fraction,0.003217410320587329,32,extra_trees_top_40,4,40
longest_rC_run,0.003191678867122277,33,extra_trees_top_40,4,40
slash_mod_span_fraction,0.0030297910732790916,34,extra_trees_top_40,4,40
star_first_fraction,0.002986941447727361,35,extra_trees_top_40,4,40
base_G_fraction,0.0029755179132468466,36,extra_trees_top_40,4,40
base_A_count,0.0029000279168163324,37,extra_trees_top_40,4,40
has_slash_mod,0.002886139079986571,38,extra_trees_top_40,4,40
longest_homopolymer_run,0.002866952555256975,39,extra_trees_top_40,4,40
slash_mod_position_std,0.002831220865872423,40,extra_trees_top_40,4,40
token_length,0.7275016190134294,1,correlation_pruned_top_40,5,40
base_C_count,0.6900266234805507,2,correlation_pruned_top_40,5,40
rna_last_position,0.6699136687577112,3,correlation_pruned_top_40,5,40
base_G_count,0.6650424641530397,4,correlation_pruned_top_40,5,40
rna_count_5p,0.6546434332046543,5,correlation_pruned_top_40,5,40
token_rG_count,0.6064763244119785,6,correlation_pruned_top_40,5,40
token_rU_count,0.563684255450019,7,correlation_pruned_top_40,5,40
base_U_count,0.5562517251677999,8,correlation_pruned_top_40,5,40
modified_token_last_position,0.5180668296189218,9,correlation_pruned_top_40,5,40
modified_token_position_std,0.5067131851083706,10,correlation_pruned_top_40,5,40
star_mean_position,0.47917559156475975,11,correlation_pruned_top_40,5,40
methyl_position_std,0.47817648932801954,12,correlation_pruned_top_40,5,40
rna_count_3p,0.472850807460727,13,correlation_pruned_top_40,5,40
longest_rna_run,0.3854669852743023,14,correlation_pruned_top_40,5,40
longest_rC_run,0.3832552658233036,15,correlation_pruned_top_40,5,40
longest_rG_run,0.37219672355031075,16,correlation_pruned_top_40,5,40
max_gc_window_10,0.36783925108889326,17,correlation_pruned_top_40,5,40
base_C_fraction,0.3673155208449468,18,correlation_pruned_top_40,5,40
token_rC_fraction,0.3580114081507312,19,correlation_pruned_top_40,5,40
longest_gc_run,0.34357325431812114,20,correlation_pruned_top_40,5,40
token_rG_fraction,0.2926423078414278,21,correlation_pruned_top_40,5,40
base_A_fraction,0.2906062181208627,22,correlation_pruned_top_40,5,40
base_G_fraction,0.27839434083990394,23,correlation_pruned_top_40,5,40
star_count_3p,0.26822275024764614,24,correlation_pruned_top_40,5,40
slash_mod_first_position,0.2023988975347735,25,correlation_pruned_top_40,5,40
rna_density_5p,0.1970436282680572,26,correlation_pruned_top_40,5,40
star_density_5p,0.1931740394987548,27,correlation_pruned_top_40,5,40
token_rA_fraction,0.18785366747348328,28,correlation_pruned_top_40,5,40
star_mean_fraction,0.18735759409979716,29,correlation_pruned_top_40,5,40
slash_mod_first_fraction,0.17108819223646893,30,correlation_pruned_top_40,5,40
star_density_middle,0.17051806089925742,31,correlation_pruned_top_40,5,40
token_lA_count,0.1695463258501368,32,correlation_pruned_top_40,5,40
token_mA_fraction,0.16053948678069396,33,correlation_pruned_top_40,5,40
modified_token_mean_fraction,0.1508853294312667,34,correlation_pruned_top_40,5,40
star_count,0.1475420377222772,35,correlation_pruned_top_40,5,40
token_lG_count,0.14666228159354336,36,correlation_pruned_top_40,5,40
token_mU_fraction,0.1461219529711909,37,correlation_pruned_top_40,5,40
methyl_density_5p,0.13666703465937846,38,correlation_pruned_top_40,5,40
longest_slash_mod_run,0.13447989741472208,39,correlation_pruned_top_40,5,40
slash_mod_count_middle,0.12830875514082735,40,correlation_pruned_top_40,5,40
modified_token_last_position,0.6431716268160446,1,mutual_info_top_40,5,40
token_length,0.6369951884604981,2,mutual_info_top_40,5,40
decorated_length,0.6123241154579904,3,mutual_info_top_40,5,40
star_last_position,0.6121110038354858,4,mutual_info_top_40,5,40
star_first_fraction,0.6060315169840176,5,mutual_info_top_40,5,40
methyl_last_position,0.5996671106897837,6,mutual_info_top_40,5,40
star_position_std,0.5924500112504294,7,mutual_info_top_40,5,40
star_mean_position,0.5900485229973071,8,mutual_info_top_40,5,40
rna_first_fraction,0.5898179698216235,9,mutual_info_top_40,5,40
base_length,0.58969996230284,10,mutual_info_top_40,5,40
rna_mean_position,0.5800603662267179,11,mutual_info_top_40,5,40
modified_token_position_std,0.5776369144742977,12,mutual_info_top_40,5,40
rna_position_std,0.5675427092192757,13,mutual_info_top_40,5,40
rna_count_middle,0.5433060698383141,14,mutual_info_top_40,5,40
mod_density_5p,0.54141356121821,15,mutual_info_top_40,5,40
methyl_position_std,0.5392860296451771,16,mutual_info_top_40,5,40
rna_span_fraction,0.537644092315678,17,mutual_info_top_40,5,40
rna_last_position,0.5375828704388748,18,mutual_info_top_40,5,40
modified_token_density_5p,0.5364153456044494,19,mutual_info_top_40,5,40
star_span_fraction,0.5363600967010154,20,mutual_info_top_40,5,40
methyl_mean_position,0.536233794678926,21,mutual_info_top_40,5,40
star_density,0.5341159148244601,22,mutual_info_top_40,5,40
modified_token_density_3p,0.530992951660759,23,mutual_info_top_40,5,40
rna_density_3p,0.5212275318062947,24,mutual_info_top_40,5,40
star_last_fraction,0.5199933079716503,25,mutual_info_top_40,5,40
modified_token_mean_position,0.5176637704461786,26,mutual_info_top_40,5,40
methyl_density_5p,0.5149212233214047,27,mutual_info_top_40,5,40
mod_density_3p,0.5140548492568282,28,mutual_info_top_40,5,40
rna_density_5p,0.5125372024675099,29,mutual_info_top_40,5,40
star_density_5p,0.5121736435390107,30,mutual_info_top_40,5,40
star_density_3p,0.5018536807839205,31,mutual_info_top_40,5,40
longest_rna_run,0.5014166600214858,32,mutual_info_top_40,5,40
rna_count_3p,0.49407957440213535,33,mutual_info_top_40,5,40
rna_count_5p,0.489038117795598,34,mutual_info_top_40,5,40
base_G_count,0.48675597120978376,35,mutual_info_top_40,5,40
methyl_density_3p,0.47672561067762986,36,mutual_info_top_40,5,40
base_C_count,0.45084878768027625,37,mutual_info_top_40,5,40
base_A_count,0.43665575408082713,38,mutual_info_top_40,5,40
base_U_count,0.43199389229846963,39,mutual_info_top_40,5,40
token_mG_fraction,0.4261291720018292,40,mutual_info_top_40,5,40
token_length,0.10858071636315753,1,extra_trees_top_40,5,40
methyl_last_position,0.09352873802870754,2,extra_trees_top_40,5,40
decorated_length,0.07487561647215166,3,extra_trees_top_40,5,40
star_last_position,0.06983923163565174,4,extra_trees_top_40,5,40
base_length,0.06514503758596012,5,extra_trees_top_40,5,40
modified_token_last_position,0.04597507191359612,6,extra_trees_top_40,5,40
rna_mean_position,0.042630759513003144,7,extra_trees_top_40,5,40
star_position_std,0.042383131872692964,8,extra_trees_top_40,5,40
star_mean_position,0.04109690534142233,9,extra_trees_top_40,5,40
base_G_count,0.037346823288115664,10,extra_trees_top_40,5,40
rna_last_position,0.03438693465520601,11,extra_trees_top_40,5,40
rna_position_std,0.026518887514507386,12,extra_trees_top_40,5,40
methyl_position_std,0.023665574583084884,13,extra_trees_top_40,5,40
base_C_count,0.02139720662072102,14,extra_trees_top_40,5,40
rna_count_middle,0.019472542111910685,15,extra_trees_top_40,5,40
token_rC_count,0.016160140256741236,16,extra_trees_top_40,5,40
token_rG_count,0.014852417088587413,17,extra_trees_top_40,5,40
rna_count_3p,0.014319500858046333,18,extra_trees_top_40,5,40
modified_token_position_std,0.01102932901374615,19,extra_trees_top_40,5,40
base_U_count,0.010712976667237297,20,extra_trees_top_40,5,40
rna_count_5p,0.009391769532297116,21,extra_trees_top_40,5,40
token_rU_count,0.008645249247394958,22,extra_trees_top_40,5,40
base_T_count,0.007369167693047176,23,extra_trees_top_40,5,40
methyl_mean_position,0.007313878844760666,24,extra_trees_top_40,5,40
modified_token_mean_position,0.006181833501557095,25,extra_trees_top_40,5,40
longest_rna_run,0.006119967401965609,26,extra_trees_top_40,5,40
longest_rU_run,0.005639857714856756,27,extra_trees_top_40,5,40
slash_mod_span_fraction,0.005515122631337552,28,extra_trees_top_40,5,40
slash_mod_position_std,0.005067982761690532,29,extra_trees_top_40,5,40
rna_first_fraction,0.004680076242096684,30,extra_trees_top_40,5,40
gc_fraction,0.00346818728868936,31,extra_trees_top_40,5,40
base_G_fraction,0.003420221259778852,32,extra_trees_top_40,5,40
au_fraction,0.003403847148318879,33,extra_trees_top_40,5,40
terminal_gc_count,0.0031432511918038047,34,extra_trees_top_40,5,40
base_A_count,0.003085627753699184,35,extra_trees_top_40,5,40
longest_rC_run,0.0029242233564187848,36,extra_trees_top_40,5,40
slash_mod_last_fraction,0.002735052581493413,37,extra_trees_top_40,5,40
longest_homopolymer_run,0.002654760820530699,38,extra_trees_top_40,5,40
longest_rA_run,0.002445743341412959,39,extra_trees_top_40,5,40
base_A_fraction,0.0023857672133395045,40,extra_trees_top_40,5,40
